TreeID,WinterYear,TotalNuts,TotalWhole,TotalEmpty,TotalPredated
842,1976,940,432,504,4
842,1977,0,0,0,0
842,1978,0,0,0,0
842,1979,124,4,80,40
842,1980,0,0,0,0
842,1981,0,0,0,0
842,1983,612,116,496,0
842,1984,0,0,0,0
842,1985,8,4,4,0
842,1986,172,52,36,84
842,1987,368,340,0,28
842,1988,0,0,0,0
842,1989,4,0,0,4
842,1990,852,504,244,104
842,1991,40,0,36,4
842,1992,136,48,52,36
842,1993,160,20,104,36
842,1994,32,4,28,0
842,1995,652,304,300,48
842,1996,0,0,0,0
842,1997,52,4,36,12
842,1998,92,8,76,8
842,1999,168,0,136,32
842,2000,160,104,48,8
842,2001,0,0,0,0
842,2002,192,64,124,4
842,2003,48,0,48,0
842,2004,276,116,152,8
842,2005,0,0,0,0
842,2006,236,84,120,32
842,2007,100,4,92,4
842,2008,12,0,12,0
842,2009,60,4,40,16
842,2010,40,0,32,8
842,2011,336,172,128,36
842,2012,96,0,52,44
842,2013,132,8,100,24
842,2014,304,56,200,48
842,2015,44,0,32,12
842,2016,276,192,64,20
842,2017,56,0,48,8
842,2018,476,64,356,56
842,2019,128,0,104,24
842,2020,168,32,56,80
842,2021,68,0,36,32
842,2022,228,20,132,76
842,2023,196,8,88,100
842,2024,148,0,48,100
842,2025,204,4,156,44
843,1976,416,280,136,0
843,1977,0,0,0,0
843,1978,0,0,0,0
843,1979,180,8,68,104
843,1980,0,0,0,0
843,1981,0,0,0,0
843,1983,556,196,360,0
843,1984,0,0,0,0
843,1985,0,0,0,0
843,1986,168,20,40,108
843,1987,336,272,0,64
843,1988,0,0,0,0
843,1989,28,12,4,12
843,1990,756,532,140,84
843,1991,20,0,20,0
843,1992,308,180,96,32
843,1993,56,0,28,28
843,1994,16,0,16,0
843,1995,356,184,124,48
843,1996,0,0,0,0
843,1997,16,0,12,4
843,1998,152,0,128,24
843,1999,124,0,108,16
843,2000,304,160,112,32
843,2001,0,0,0,0
843,2002,200,124,72,4
843,2003,48,0,36,12
843,2004,316,128,160,28
843,2005,0,0,0,0
843,2006,272,132,112,28
843,2007,236,16,156,64
843,2008,32,0,20,12
843,2009,140,24,64,52
843,2010,52,0,48,4
843,2011,724,380,196,148
843,2012,328,4,152,172
843,2013,400,120,196,84
843,2014,732,120,456,156
843,2015,332,4,220,108
843,2016,372,176,160,36
843,2017,116,0,96,20
843,2018,616,156,336,124
843,2019,180,0,100,80
843,2020,228,84,72,72
843,2021,80,0,56,24
843,2022,220,36,84,100
843,2023,204,64,100,40
843,2024,112,4,40,68
843,2025,92,0,64,28
844,1976,540,392,132,16
844,1977,0,0,0,0
844,1978,0,0,0,0
844,1979,80,24,48,8
844,1980,0,0,0,0
844,1981,0,0,0,0
844,1983,360,192,168,0
844,1984,16,0,8,8
844,1985,8,0,4,4
844,1986,72,24,8,40
844,1987,268,244,0,24
844,1988,0,0,0,0
844,1989,32,0,8,24
844,1990,816,700,60,56
844,1991,24,0,20,4
844,1992,464,208,164,92
844,1993,104,12,84,8
