"variable","AIC","Start_DOY","End_DOY","Window_length","Window_start","Window_end"
"z_maxTempT1",12588.1807387811,165,204,40,"165 (15/06)","204 (24/07)"
"z_maxTempT2",12511.3306925527,208,215,8,"208 (28/07)","215 (04/08)"
"z_meanTempT0",12473.1233907368,131,245,115,"131 (12/05)","245 (03/09)"
"z_PrecT1",12297.4896418997,144,154,11,"144 (25/05)","154 (04/06)"
"z_PrecT2",12248.6978442797,157,253,97,"157 (07/06)","253 (11/09)"
"z_PrecT0",12163.2681218751,225,231,7,"225 (14/08)","231 (20/08)"
"z_maxTempT1_secIt",12093.3395343836,171,209,39,"171 (21/06)","209 (29/07)"
"z_maxTempT2_secIt",12060.683069228,237,243,7,"237 (26/08)","243 (01/09)"
"z_meanTempT0_secIt",12042.9020068752,176,182,7,"176 (26/06)","182 (02/07)"
"z_PrecT1_secIt",12042.9020068752,144,154,11,"144 (25/05)","154 (04/06)"
"z_PrecT0_secIt",11948.1664804839,225,231,7,"225 (14/08)","231 (20/08)"
"z_PrecT2_secIt",11948.1664804839,155,214,60,"155 (05/06)","214 (03/08)"
"z_maxTempT1_thirdIt",11947.2821373124,170,212,43,"170 (20/06)","212 (01/08)"
"z_maxTempT2_thirdIt",11937.6208644517,237,244,8,"237 (26/08)","244 (02/09)"
"z_meanTempT0_thirdIt",11936.9004498927,172,181,10,"172 (22/06)","181 (01/07)"
"z_PrecT1_thirdIt",11936.9004498927,144,154,11,"144 (25/05)","154 (04/06)"
"z_PrecT0_thirdIt",11936.4747823778,225,231,7,"225 (14/08)","231 (20/08)"
"z_PrecT2_thirdIt",11936.4747823778,155,215,61,"155 (05/06)","215 (04/08)"
"z_maxTempT2_4It",11935.6988636979,237,244,8,"237 (26/08)","244 (02/09)"
"z_maxTempT1_4It",11935.6988636979,170,209,40,"170 (20/06)","209 (29/07)"
"z_meanTempT0_4It",11935.6988636979,172,181,10,"172 (22/06)","181 (01/07)"
"z_PrecT1_4It",11935.6988636979,144,154,11,"144 (25/05)","154 (04/06)"
"z_PrecT0_4It",11935.6174426213,225,231,7,"225 (14/08)","231 (20/08)"
"z_PrecT2_4It",11935.6174426213,155,214,60,"155 (05/06)","214 (03/08)"
